PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional),,
2509789;Independent Center;COMMONWEALTH CHILDRENS CTR;Boston;MA;;;;;;,,
2512566;;JEWISH CMTY PRE-SCHOOL;Worcester;MA;;;;;;,,
2515556;Church/Synagogue;CREATIVE LEARNING CENTER;Davison;MI;;;;;;,,
2516615;Church/Synagogue;COMMUNITY CHILDRENS CENTER;Traverse City;MI;;;;;;,,
2517231;College/University Based;CHILD DEVELOPMENT LAB;East Lansing;MI;;;;;;,,
2519136;Church/Synagogue;PATHFINDER CHURCH CHILD CARE;Portage;MI;;;;;;,,
2520082;Church/Synagogue;ST THOMAS PRE-SCHOOL PROGRAM;Grand Rapids;MI;;;;;;,,
2520214;Church/Synagogue;WESTMINSTER CHILD DEV CENTER;Grand Rapids;MI;;;;;;,,
2524961;Church/Synagogue;TEMPLE BETH EL NURSERY SCHOOL;Bloomfld TWP;MI;;;;;;,,
2537982;Church/Synagogue;TRINITY PRE SCHOOL;Moorhead;MN;;;;;;,,
2538546;Independent Center;TINY TOTS AND LITTLE TYKES;W Saint Paul;MN;;;;;;,,
2539124;College/University Based;COMO COMMUNITY CHILD CARE CTR;Minneapolis;MN;;;;;;,,
2539928;Independent Center;NE CHILD DEVELOPMENT CENTER;Minneapolis;MN;;;;;;,,
2541000;Church/Synagogue;MOUNT CALVARY PRE-SCHOOL;Excelsior;MN;;;;;;,,
2541426;Church/Synagogue;ST JOHN CHILD CARE CENTER;Minneapolis;MN;;;;;;,,
2543448;Church/Synagogue;ST PAUL'S CHILDHOOD CENTER;Saint Paul;MN;;;;;;,,
2568539;Independent Center;ELAINE ROSI ACADEMY;Saint Louis;MO;;;;;;,,
2573742;College/University Based;JAMES R RUSSELL CHLD DEV CTR;Omaha;NE;;;;;;,,
2574241;Church/Synagogue;ST LUKE'S CHILD DEV CENTER;Omaha;NE;;;;;;,,
2575879;Church/Synagogue;HILL & DALE CHILD DEV CENTER;Las Vegas;NV;;;;;;,,
2576146;Independent Center;BABY LAND INFANT CTR PRE-SCH;Las Vegas;NV;;;;;;,,
2580501;Church/Synagogue;ST JOHN'S CHILDREN'S CENTER;Reno;NV;;;;;;,,
2580903;Independent Center;INTERLAKES DAY CARE & NRSY SCH;Meredith;NH;;;;;;,,
2581751;Independent Center;FRANCONIA CHILDRENS CENTER;Franconia;NH;;;;;;,,
2581763;Independent Center;HAMPSHIRE CO-OP NURSERY SCHOOL;Hanover;NH;;;;;;,,
2583357;Independent Center;WHITE BIRCH CMTY CCC;Henniker;NH;;;;;;,,
2584662;Independent Center;GREAT BAY KIDS COMPANY;Newmarket;NH;;;;;;,,
2589894;Church/Synagogue;OPEN DOOR NURSERY SCHOOL;Millburn;NJ;;;;;;,,
2591172;Church/Synagogue;TEMPLE BNAI JESHURUN EARLY CCC;Short Hills;NJ;;;;;;,,
2591201;Church/Synagogue;BETH EL NURSERY SCHOOL;South Orange;NJ;;;;;;,,
2591330;Independent Center;VLY SETTLEMENT HOUSE DAY CARE;West Orange;NJ;;;;;;,,
2592413;Church/Synagogue;ST PAUL CHRISTIAN SCHOOL;Flemington;NJ;;;;;;,,
2594083;YMCA/YWCA;GYM JAMS YMCA NURSERY SCHOOL;Scotch Plains;NJ;;;;;;,,
2596457;Church/Synagogue;JIN A CHILD CARE CENTER;Clifton;NJ;;;;;;,,
2602329;Independent Center;CHILDREN'S PLACE AT THE PLAZA;Albany;NY;;;;;;,,
2608323;YMCA/YWCA;KINGS BAY YM-YWHA CHILDCARE;Brooklyn;NY;;;;;;,,
2610091;Independent Center;BROCKPORT CHILD DEV CTR;Brockport;NY;;;;;;,,
2610302;Independent Center;FRIENDSHIP CHILDRENS CENTER;Rochester;NY;;;;;;,,
2610479;Church/Synagogue;JCC OF GREATER ROCHESTER CCC;Rochester;NY;;;;;;,,
2611899;Independent Center;HARBOR CHILD CARE;New Hyde Park;NY;;;;;;,,
2612283;Independent Center;ALL SOULS SCHOOL;New York;NY;;;;;;,,
2612491;Family Day Residences;BROWNSTONE SCHOOL & DCC;New York;NY;;;;;;,,
2614645;College/University Based;ROCKERFELLER UNIV CHILD CTR;New York;NY;;;;;;,,
2614748;Independent Center;ST IGNATIUS DAY NURSERY;New York;NY;;;;;;,,
2615869;Church/Synagogue;JCC EARLY CHILDHOOD DEV PGRM;De Witt;NY;;;;;;,,
2616320;Independent Center;HEATHER'S CHILD'S PLACE LTD;Montgomery;NY;;;;;;,,
2617245;Independent Center;QUEENS COMMUNITY HOUSE;Forest Hills;NY;;;;;;,,
2618885;Independent Center;SOUTHSHORE TODDLER ACAD PK;Staten Island;NY;;;;;;,,
2620125;Independent Center;EAST HAMPTON DAY CARE CTR;East Hampton;NY;;;;;;,,
2620333;Independent Center;JUST KIDS LEARNING CENTER;Middle Island;NY;;;;;;,,
2621222;Independent Center;CREATIVE ENVIRONMENT DAY CARE;MacEdon;NY;;;;;;,,
2621337;Independent Center;ARDSLEY CHILDREN'S CENTER;Ardsley;NY;;;;;;,,
2621698;Independent Center;OSSINING CHILDREN'S CTR;Ossining;NY;;;;;;,,
2621715;Independent Center;PELHAM CHILDREN'S CENTER;Pelham;NY;;;;;;,,
2628048;Church/Synagogue;FIRST PRESBYTERIAN DAY CARE;Durham;NC;;;;;;,,
2628581;Church/Synagogue;YATE'S BAPT CHILD DEV CTR;Durham;NC;;;;;;,,
2642915;Independent Center;METHOD DAY CHILD CARE CTR;Raleigh;NC;;;;;;,,
2643218;Church/Synagogue;TEMPLE BETH OR PRE SCHOOL;Raleigh;NC;;;;;;,,
2647783;Independent Center;CAROL NURSERY SCHOOL;Woodmere;OH;;;;;;,,
2652013;Church/Synagogue;NORTHWEST CHRISTIAN CHILDC;Columbus;OH;;;;;;,,
2652506;College/University Based;OHIO STATE UNIV CHILD CARE;Columbus;OH;;;;;;,,
2653768;Independent Center;BLUE ASH CHILD CARE CTR;Cincinnati;OH;;;;;;,,
2655077;Church/Synagogue;SHILOH PRE-SCHOOL LEARNING CTR;Cincinnati;OH;;;;;;,,
2656485;Church/Synagogue;PAINESVILLE CHRN ACADEMY;Painesville;OH;;;;;;,,
2657324;Independent Center;OBERLIN EARLY CHILDHOOD CENTER;Oberlin;OH;;;;;;,,
2658055;Montessori;WESTSIDE MONTESSORI CENTER;Perrysburg;OH;;;;;;,,
2661507;College/University Based;BOMBECK FAMILY LEARNING CENTER;Dayton;OH;;;;;;,,
2664016;Church/Synagogue;FIRST CONG CHURCH CHILD CENTER;Hudson;OH;;;;;;,,
2667812;Other Chains;COMMUNITY AFTER SCHOOL-WILSON;Norman;OK;;;;;;,,
2672879;Church/Synagogue;ST LUKES CHILDREN'S CENTER;Oklahoma City;OK;;;;;;,,
2675780;YMCA/YWCA;HUTCHENSEN YMCA CHILD DEV CTR;Tulsa;OK;;;;;;,,
2678598;Independent Center;CRESWELL CHRISTIAN CHILD CARE;Creswell;OR;;;;;;,,
2679308;Church/Synagogue;COURT ST CHRISTIAN CHILD CARE;Salem;OR;;;;;;,,
