PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional),,
3038018;YMCA/YWCA;SPENCER FAMILY'S YMCA;Spencer;IA;;;;;;,,
3053604;Church/Synagogue;SOLEL PRE-SCHOOL;Scottsdale;AZ;;;;;;,,
3078692;Independent Center;AMES CMTY PRE-SCH-NORTHMINSTER;Ames;IA;;;;;;,,
3081948;College/University Based;KSU CHILD DEVELOPMENT CENTER;Manhattan;KS;;;;;;,,
3082435;Independent Center;WONDERKIDS;Warwick;RI;;;;;;,,
3083295;Church/Synagogue;FIRST KIDS SCH AGE CHLDHD CARE;Louisville;KY;;;;;;,,
3091890;Church/Synagogue;FIRST BAPTIST CHURCH OF BYRAM;Byram;MS;;;;;;,,
3097832;Church/Synagogue;CROSS GATES METH CHLDRN'S CTR;Brandon;MS;;;;;;,,
3098472;Independent Center;TROY EARLY CHILD CARE CTR;Troy;IL;;;;;;,,
3110604;Independent Center;CREATIVE KIDS LEARNING CTR;Las Vegas;NV;;;;;;,,
3115783;Independent Center;ABC ACADEMY CHILD CARE DEV CTR;Jackson;MI;;;;;;,,
3136579;Independent Center;MANDEL JEWISH CMTY CTR PRE-SCH;Beachwood;OH;;;;;;,,
3147176;Church/Synagogue;SOUTHSIDE BAPT CHURCH DAY CARE;Florence;SC;;;;;;,,
3151218;Church/Synagogue;CORNERSTONE UN METH PRE-SCH;Houston;TX;;;;;;,,
3152406;Independent Center;CAMP FIRE USA CHILD CARE CTR;Pensacola;FL;;;;;;,,
3161938;Montessori;KINDERNEST MONTESSORI SCHOOL;Fredericksbrg;TX;;;;;;,,
3168649;Employer (Corporate) Sponsored;PAVILLARD LEARNING CENTER;Amarillo;TX;;;;;;,,
3168900;Church/Synagogue;TRIUMPHANT LOVE LUTH CDC;Austin;TX;;;;;;,,
3172640;Church/Synagogue;CORNERSTONE CC;Berkeley;CA;;;;;;,,
3173852;Church/Synagogue;BRIGHT BEGINNINGS PRE-SCHOOL;Fort Myers;FL;;;;;;,,
3177004;Church/Synagogue;JCC EARLY CHILDHOOD LRNG CTR;Maitland;FL;;;;;;,,
3181017;Church/Synagogue;KIDS FIRST;Bartlesville;OK;;;;;;,,
3181665;Church/Synagogue;ABC BARN CHILDREN'S PLACE;La Mesa;CA;;;;;;,,
3182009;Independent Center;DUCK'S NEST;Berkeley;CA;;;;;;,,
3183211;Independent Center;ORLEANS-NIAGARA BOCES ECC;Sanborn;NY;;;;;;,,
3185324;Independent Center;LITTLE MUD PUDDLES LC;Fremont;CA;;;;;;,,
3185946;Church/Synagogue;ST MARK'S PRE-SCHOOL/KIDZONE;Lincoln;NE;;;;;;,,
3188675;Church/Synagogue;ROTHSCHILD EARLY CHLDHD CENTER;Syracuse;NY;;;;;;,,
3190654;Independent Center;SCHENECTADY JEWISH CMTY CTR;Schenectady;NY;;;;;;,,
3190707;Independent Center;COBLESKILL CAMPUS CHILD CARE;Cobleskill;NY;;;;;;,,
3191347;Independent Center;GREAT NECK COMMUNITY SCHOOL;Great Neck;NY;;;;;;,,
3193321;Independent Center;CANTERBURY CMTY NURSERY SCHOOL;Richmond;VA;;;;;;,,
3194739;Church/Synagogue;RIVER ROAD CHURCH PRE-SCHOOL;Richmond;VA;;;;;;,,
3195616;Church/Synagogue;HOPE LUTHERAN PRE-SCHOOL;Daly City;CA;;;;;;,,
3205039;Independent Center;TLC EARLY LEARNING CENTER;Bloomington;MN;;;;;;,,
3214274;YMCA/YWCA;PIEDMONT FAMILY YMCA;University;VA;;;;;;,,
3215785;Montessori;KID TOWN USA;South Gate;CA;;;;;;,,
3216002;Independent Center;MEETING HOUSE CHILD CARE CTR;Newton;MA;;;;;;,,
3227520;Independent Center;SANDHILLS CHILDRENS CENTER;Rockingham;NC;;;;;;,,
3237666;Employer (Corporate) Sponsored;GUILD OF SR AGNES CHILD CARE;Webster;MA;;;;;;,,
3243744;Independent Center;GRACE GARDEN EDUCATION CTR;El Monte;CA;;;;;;,,
3254822;Church/Synagogue;ST JOSEPH AFTER SCHOOL CARE;Jefferson Cty;MO;;;;;;,,
3255620;YMCA/YWCA;SOUTH COUNTY YMCA DAY CARE;Saint Louis;MO;;;;;;,,
3267752;Independent Center;THE YOUNG SCHOOL;Columbia;MD;;;;;;,,
3273608;Independent Center;KID'S OF CHATAM ORG KOCO;East Hampton;CT;;;;;;,,
3276648;Independent Center;BEGINNING SCHOOL;Tucson;AZ;;;;;;,,
3277903;College/University Based;ST JOHN FISHER CLG CHILD CARE;Rochester;NY;;;;;;,,
3280376;Independent Center;CAUGHLIN CLUB KIDS;Reno;NV;;;;;;,,
3283495;Independent Center;BELLEVUE COMMUNITY CENTER;Wilmington;DE;;;;;;,,
3288201;Independent Center;CORNERSTONE EARLY LRNG CENTER;Douglasville;GA;;;;;;,,
3289889;Church/Synagogue;PEACHTREE RD LUTH PRE-SCH;Atlanta;GA;;;;;;,,
3291167;YMCA/YWCA;NORTHEAST YMCA-CHILD DEV CTR;Louisville;KY;;;;;;,,
3296480;Independent Center;BROOKER MEMORIAL CC & LRNG CTR;Torrington;CT;;;;;;,,
3299195;College/University Based;WOODSIDE CHILDREN'S CENTER;Amherst;MA;;;;;;,,
3300225;;BOYS & GIRLS CLUB-BERKSHIRES;Pittsfield;MA;;;;;;,,
3304867;Independent Center;FAIR ACRES COUNTRY DAY SCHOOL;Marstons Mls;MA;;;;;;,,
3307558;College/University Based;CAMPUS KINDER HAUS;Quincy;MA;;;;;;,,
3307649;Independent Center;GREATER QUINCY CHILD CARE CTR;Quincy;MA;;;;;;,,
3313545;Hospital Centers;HOSP TOTS CHILD DEV CTR;Columbia;TN;;;;;;,,
3342039;Other Chains;KIDDIE KOLLEGE-OVERLAND PARK;Overland Park;KS;;;;;;,,
3343643;Independent Center;NOAH'S ARK CHILD CARE CENTER;Manchester;NH;;;;;;,,
3346918;Church/Synagogue;IPC DAY SCHOOL;Birmingham;AL;;;;;;,,
3349128;Independent Center;BEAR COUNTRY PRE-SCHOOL;Merced;CA;;;;;;,,
3349714;College/University Based;ASI CHILDREN'S CENTER;Sacramento;CA;;;;;;,,
3351676;Church/Synagogue;TEMPLE ETZ CHAIM PRE-SCHOOL;Thousand Oaks;CA;;;;;;,,
3351913;Church/Synagogue;JCC EARLY LEARNING SCHOOL;Denver;CO;;;;;;,,
3353193;Church/Synagogue;THE PRE-SCHOOL;Atlanta;GA;;;;;;,,
3353325;Church/Synagogue;DECATUR 1ST UMC PRE-SCH;Decatur;GA;;;;;;,,
3353507;Independent Center;INMAN PARK COOPERATIVE PRE-SCH;Atlanta;GA;;;;;;,,
3353533;Church/Synagogue;JOHN'S CREEK UMC PRE-SCHOOL;Johns Creek;GA;;;;;;,,
3353583;Church/Synagogue;FIRST UNITED METH PRE-SCHOOL;Gainesville;GA;;;;;;,,
3354422;YMCA/YWCA;ILLINOIS VALLEY YMCA;Peru;IL;;;;;;,,
3354771;Church/Synagogue;GOOD SHEPHERD PRE-SCHOOL;Fort Wayne;IN;;;;;;,,
3355256;YMCA/YWCA;BAXTER YMCA PRE-SCHOOL;Indianapolis;IN;;;;;;,,
3356054;Independent Center;DISCOVERY PLACE PRE-SCHOOL;Wichita;KS;;;;;;,,
3357242;Church/Synagogue;LEARNING CENTER FOR YOUNG CHLD;Kensington;MD;;;;;;,,
3363887;Independent Center;BEGINNINGS NURSERY SCHOOL;New York;NY;;;;;;,,
3365017;Church/Synagogue;BET TORAH NURSERY SCHOOL;Mount Kisco;NY;;;;;;,,
3365316;Church/Synagogue;ST LUKE PRE-SCHOOL;Sanford;NC;;;;;;,,
3365603;Church/Synagogue;SEEDS OF FAITH PRE-SCHOOL;Fuquay Varina;NC;;;;;;,,
3368899;Independent Center;ELIZABETHTOWN CMTY NRSRY SCH;Elizabethtown;PA;;;;;;,,
3372761;Independent Center;JCC EARLY CHILDHOOD CENTER;Salt Lake Cty;UT;;;;;;,,
3373519;Church/Synagogue;BONSACK BPT WEEKDAY EARLY ED;Roanoke;VA;;;;;;,,
3373662;Church/Synagogue;PEAKLAND PRE-SCHOOL;Lynchburg;VA;;;;;;,,
3381853;Other Chains;GIVING NEST;N Plainfield;NJ;;;;;;,,
3403920;Montessori;SACRED HEART PRE-SCHOOL;Louisville;KY;;;;;;,,
3417141;Independent Center;LITTLE SWANS PRE-SCHOOL;Phoenix;AZ;;;;;;,,
3425643;Montessori;CHILDREN'S HOUSE MONTESSORI;Norman;OK;;;;;;,,
3428164;YMCA/YWCA;YWCA CHILDREN'S ALLEY II;Boulder;CO;;;;;;,,
3434319;Independent Center;LITTLE RED CABOOSE DAY CARE;Falmouth;ME;;;;;;,,
3441180;Independent Center;ROSSLYN CHILDREN'S CENTER;Arlington;VA;;;;;;,,
3445746;Independent Center;SILVER SPRING DAY SCHOOL;Silver Spring;MD;;;;;;,,
3449924;YMCA/YWCA;SHERIDAN COUNTY YMCA;Sheridan;WY;;;;;;,,
3450844;Independent Center;GOODMAN COMMUNITY CTR;Madison;WI;;;;;;,,
3451094;Church/Synagogue;CREATIVE LEARNING CENTER;Richmond;VA;;;;;;,,
3451616;Other Chains;BOYS & GIRLS CLUB-NORWOOD;Warwick;RI;;;;;;,,
3452244;YMCA/YWCA;MAPLE ST YMCA WEST BRANCH CC;Omaha;NE;;;;;;,,
3453597;Church/Synagogue;ST JOHN'S LUTH CH DAY CARE CTR;Kutztown;PA;;;;;;,,
3465253;YMCA/YWCA;NORTH BRANCH YMCA;Columbus;OH;;;;;;,,
3466245;YMCA/YWCA;E SUBURBAN YMCA-FRANKLIN REG;Pittsburgh;PA;;;;;;,,
3471393;Independent Center;APPLE TREE ACADEMY;High Point;NC;;;;;;,,
3474876;Church/Synagogue;AGAPE CHILDREN'S CENTER;Cincinnati;OH;;;;;;,,
3476173;YMCA/YWCA;M E LYONS YMCA CC-MADDUX;Cincinnati;OH;;;;;;,,
3476616;College/University Based;NIAGARA CO CLG CHILD DEV CTR;Sanborn;NY;;;;;;,,
3480734;YMCA/YWCA;BROOME CNTY YMCA CHILD CARE;Binghamton;NY;;;;;;,,
3482732;Independent Center;ASCENSION CHILD CARE;Shelburne;VT;;;;;;,,
3494400;College/University Based;JEFFERSON CLG CCC-HILLSBORO;Hillsboro;MO;;;;;;,,
3505023;Church/Synagogue;CENTRAL BAPTIST PRE-SCH & KDGN;Johnson City;TN;;;;;;,,
3508817;Independent Center;COMMUNITY NURSERY SCH GUILFORD;Guilford;CT;;;;;;,,
3514127;Independent Center;KREIGER EARLY CHLDHD CTR;Palm Harbor;FL;;;;;;,,
3528544;Independent Center;CHILDREN'S VILLAGE ORCHARD;Vancouver;WA;;;;;;,,
3530274;Church/Synagogue;ADVENTURE PLACE;Uniontown;OH;;;;;;,,
3531474;Church/Synagogue;ALL SAINTS LUTH PRE-SCH;Tamarac;FL;;;;;;,,
3531656;Independent Center;KIDS CENTRE;Seattle;WA;;;;;;,,
3534660;Independent Center;J C LYNCH PRE K;Coward;SC;;;;;;,,
3541106;Church/Synagogue;FIRST BAPTIST CH OF TAHOE CITY;Tahoe City;CA;;;;;;,,
3544940;Independent Center;TCC EARLY LEARNING CENTER;Tacoma;WA;;;;;;,,
3546261;Church/Synagogue;GRACE LUTHERAN PRE-SCHOOL;Miami;FL;;;;;;,,
3551761;Independent Center;SUNRISE CHILDREN'S CENTER;Amherst;NH;;;;;;,,
3561091;Montessori;WEST MONTESSORI-COPPERFIELD;Houston;TX;;;;;;,,
3561340;Church/Synagogue;HOLY COVENANT CHILD DEV CENTER;Katy;TX;;;;;;,,
3566297;Other Chains;ALLIANCE A/S-LEE;Abilene;TX;;;;;;,,
3566663;Independent Center;STARBRIGHT PRE-SCHOOL;Austin;TX;;;;;;,,
3566962;Church/Synagogue;RIVERBEND CHRISTIAN SCHOOL CDC;Austin;TX;;;;;;,,
3567928;Church/Synagogue;TLC SUNSHINE;Wichita Falls;TX;;;;;;,,
3568166;Church/Synagogue;ST PHILLIPS CHILD DEV CENTER;Round Rock;TX;;;;;;,,
3574907;Church/Synagogue;FRANCES JACOBSON ECC;Boston;MA;;;;;;,,
3583439;Independent Center;SOUTHSIDE CHILD DEV CTR;Baton Rouge;LA;;;;;;,,
3583506;Church/Synagogue;LITTLE ELKS PRE-SCHOOL;Lexington;KY;;;;;;,,
3588764;Church/Synagogue;LITITZ CHRN EARLY LRNG CTR;Lititz;PA;;;;;;,,
3595119;Church/Synagogue;LONE OAK FIRST BAPTIST PRE-SCH;Paducah;KY;;;;;;,,
3598408;Church/Synagogue;MUMS WEEKDAY DCC;Mebane;NC;;;;;;,,
3600128;Church/Synagogue;FIRST METHODIST PRE-SCHOOL;Alexandria;LA;;;;;;,,
3606835;Church/Synagogue;CROSBY METHODIST WEEKDAY PS;Crosby;TX;;;;;;,,
3607451;Church/Synagogue;VALLEY VIEW DAY SCHOOL;Clackamas;OR;;;;;;,,
3608704;Independent Center;EWEB CHILD DEVELOPMENT CTR;Eugene;OR;;;;;;,,
3611543;Church/Synagogue;CHILDREN'S CREATIVE PLAY DAY;Allen;TX;;;;;;,,
3616749;Other Chains;BENT TREE CHILD DEV CENTER;Addison;TX;;;;;;,,
3623194;Independent Center;KIDS ACADEMY;Calumet City;IL;;;;;;,,
3623522;Independent Center;JENNINGS-LYON DAY CARE;Sheridan;IL;;;;;;,,
3629227;YMCA/YWCA;ROBERT K FOX FAMILY YMCA;Lancaster;OH;;;;;;,,
3633058;Independent Center;KIDS & COMPANY CHILD CARE CTR;Wilmington;NC;;;;;;,,
3636323;Independent Center;SUNSHINE DEVELOPMENTAL SCHOOL;Jamaica;NY;;;;;;,,
3638371;Independent Center;GREENWAY LEARNING CENTER;Greenbelt;MD;;;;;;,,
3638864;Independent Center;EPWORTH CHILDREN'S CENTER;Cockeysville;MD;;;;;;,,
3639014;Church/Synagogue;CONGREGATION BETH ELOHIM ECC;Brooklyn;NY;;;;;;,,
3644289;Church/Synagogue;WOODBROOK EARLY EDUCATION;Baltimore;MD;;;;;;,,
3651294;Church/Synagogue;ISLE OF HOPE BAPTIST CCC;Savannah;GA;;;;;;,,
3653254;Church/Synagogue;DUNWOODY UMC PRE-SCHOOL;Dunwoody;GA;;;;;;,,
3655393;Church/Synagogue;FIRST UNITED METH PRE-SCHOOL;Ft Lauderdale;FL;;;;;;,,
4143501;Montessori;RESTON MONTESSORI SCHOOL;Reston;VA;;;;;;,,
4164048;Independent Center;FORESIGHT LEARNING CENTER;Flagstaff;AZ;;;;;;,,
4181876;Independent Center;CREATIVE WORLD LEARNING CENTER;Annandale;VA;;;;;;,,
4185303;Church/Synagogue;ABIDING HOPE PRE-SCHOOL;Littleton;CO;;;;;;,,
4199926;Independent Center;SIMPLY KIDS PRE-SCHOOL;Hot Springs;AR;;;;;;,,
4201359;Church/Synagogue;BALDWIN CHILD CARE CENTER;Millersville;MD;;;;;;,,
4201529;Church/Synagogue;FIRST BAPTIST WEE CENTER;De Queen;AR;;;;;;,,
4205056;;DUCK POND DAY CARE-MILFORD;Milford;CT;;;;;;,,
4207494;;CAMPORA FAMILY RESOURCE CENTER;Winchester;TN;;;;;;,,
4218039;Church/Synagogue;ST JEROME'S AFTER SCHOOL PGRM;Hyattsville;MD;;;;;;,,
4220290;YMCA/YWCA;ANDOVER/N ANDOVER YMCA CC PRGM;Andover;MA;;;;;;,,
4221232;YMCA/YWCA;MALDEN YMCA;Malden;MA;;;;;;,,
4229777;Independent Center;SMART KIDS CC & LEARNING CTR;Washington;PA;;;;;;,,
4230453;YMCA/YWCA;FIRESTONE PK YMCA SACC-GLOVER;Akron;OH;;;;;;,,
4246529;Independent Center;LIL CRITTERS PRE-SCHOOL;Norwalk;CT;;;;;;,,
4248785;Independent Center;DUVENECK KIDS CLUB;Palo Alto;CA;;;;;;,,
4250958;Montessori;DECATUR MONTESSORI SCHOOL;Decatur;GA;;;;;;,,
4259461;Church/Synagogue;NEW NORTHSIDE CHILD DEV CTR;Saint Louis;MO;;;;;;,,
4262303;Independent Center;BARNERT TEMPLE PRE-SCHOOL;Franklin LKS;NJ;;;;;;,,
4275518;College/University Based;OSU CHILD DEV CENTER;Corvallis;OR;;;;;;,,
4276756;Independent Center;WILLOW'S CHRISTIAN CCC;Iron Ridge;WI;;;;;;,,
4277786;Independent Center;KEEPS EXTENDED EDUC PROGRAM;Mamaroneck;NY;;;;;;,,
4284959;Independent Center;BUILDING BLOCKS CHILDCARE;Newburgh;NY;;;;;;,,
4292011;Independent Center;APPLESEED EARLY LEARNING CTR;Worcester;MA;;;;;;,,
4306002;Independent Center;SPOKANE CHILD DEVELOPMENT CENT;Spokane Vly;WA;;;;;;,,
4308517;Independent Center;NEW MORNING;Bedford;NH;;;;;;,,
4314401;Independent Center;KIDS CONNECTION;Joliet;IL;;;;;;,,
4317300;Other Chains;MINNIELAND ACADEMY;Harrisonburg;VA;;;;;;,,
4321480;Church/Synagogue;ST PAUL'S LUTHERAN PRE-SCH;Waverly;IA;;;;;;,,
4323464;Independent Center;C B KING MEMORIAL SCHOOL;Mc Gehee;AR;;;;;;,,
4342757;Church/Synagogue;CHILDREN'S ARK LEARNING CTR;Clarkston;MI;;;;;;,,
4348531;Independent Center;PRECIOUS TREASURES;Valdosta;GA;;;;;;,,
4374499;Independent Center;SCHOLARS PRE-SCH/KDGN;San Jose;CA;;;;;;,,
4422888;Independent Center;HAPPY VALLEY PRE-SCHOOL;Happy Valley;OR;;;;;;,,
4426119;YMCA/YWCA;WALKER KIDS CLUB -ASHLAND YMCA;Ashland;OR;;;;;;,,
4430562;Independent Center;APPLETREE LEARNING CENTER;Casper;WY;;;;;;,,
4469135;Independent Center;KIDS & COMPANY DC-NEWKIRK;Wilmington;NC;;;;;;,,
4480141;Church/Synagogue;SHALOM PRE-SCHOOL;Naples;FL;;;;;;,,
4484472;Independent Center;COURTHOUSE PRE-SCH & KDGN;Virginia Bch;VA;;;;;;,,
4487802;Church/Synagogue;CHAPARRAL CHRISTIAN SCHOOL;Scottsdale;AZ;;;;;;,,
4490847;Other Chains;NEXT GENERATION CHILDREN'S CTR;Beverly;MA;;;;;;,,
4491293;Independent Center;LEARN & PLAY DAY CARE CENTER;Roxbury;MA;;;;;;,,
4495859;Montessori;SUNSET MONTESSORI CMTY SCHOOL;Las Vegas;NV;;;;;;,,
4499013;Church/Synagogue;CORNERSTONE CHRISTIAN PRE-SCH;Hamilton;OH;;;;;;,,
4504785;Family Day Residences;LITTLE NOISES CHILD CARE CTR;Moodus;CT;;;;;;,,
4766854;Church/Synagogue;ATONEMENT CHRISTIAN DAY SCHOOL;Barrington;IL;;;;;;,,
4771419;Church/Synagogue;LINDENWOOD CHRISTIAN CCC;Memphis;TN;;;;;;,,
4772425;Church/Synagogue;FIRST BAPTIST KIDS CARE;Blountville;TN;;;;;;,,
4778259;YMCA/YWCA;SCHLOSSMAN FAMILY YMCA WEST;Moorhead;MN;;;;;;,,
4779590;Church/Synagogue;OGLETHORPE PRESBY PRE-SCHOOL;Atlanta;GA;;;;;;,,
4787705;Independent Center;BANNERS CHILD CARE;Rochester;NY;;;;;;,,
4788357;;FIRST PRESBYTERIAN CHILD DEV;Midland;TX;;;;;;,,
4789519;Church/Synagogue;MOUNTAIN TOP PRE-SCHOOL & KDGN;Warren;NJ;;;;;;,,
4790831;Independent Center;NEW FRIENDS CHLD CARE PRE-SCH;Edison;NJ;;;;;;,,
4792853;Independent Center;ACCESS GROUP INC;Little Rock;AR;;;;;;,,
4844250;Church/Synagogue;SOUTHERN HILLS CHILD DEV CTR;Edmond;OK;;;;;;,,
4845400;Other Chains;SUNRISE PRE-SCHOOL #116;Gilbert;AZ;;;;;;,,
4849781;Other Chains;NEXT GENERATION CHILDREN'S CTR;Marlborough;MA;;;;;;,,
4857130;Church/Synagogue;BETH MOSHE CONGREGATION;North Miami;FL;;;;;;,,
4862422;Independent Center;CHESTNUT CHILDRENS CENTER;Needham;MA;;;;;;,,
4865591;Independent Center;FOLLOW ME CHILD CARE CENTER;Harrisburg;PA;;;;;;,,
4882496;Independent Center;KIRKWOOD EARLY CHILDHOOD CTR;Saint Louis;MO;;;;;;,,
4886935;Church/Synagogue;CALVARY CHILD CARE CTR;Fairless Hls;PA;;;;;;,,
4886997;YMCA/YWCA;LOWER BUCK YMCA-CARLA BARTON;Fairless Hls;PA;;;;;;,,
4887953;YMCA/YWCA;KENNETT UNIONVILLE YMCA-GARDEN;Kennett Sq;PA;;;;;;,,
4889456;Church/Synagogue;LAKE MURRAY PRESBY PRE-SCHOOL;Chapin;SC;;;;;;,,
4890285;Independent Center;DAY CARE CENTER-ARDSLEY;Glenside;PA;;;;;;,,
4902163;YMCA/YWCA;LOCK HAVEN AREA YMCA;Lock Haven;PA;;;;;;,,
4903454;YMCA/YWCA;CHAMBERSBURG MEMORIAL YMCA;Chambersburg;PA;;;;;;,,
4930122;;DISCOVERY ISLAND CHILD DEV CTR;Orange Beach;AL;;;;;;,,
4930316;Other Chains;CHESTERBROOK ACADEMY 653;Cary;NC;;;;;;,,
4936140;Other Chains;CHILD'S WORLD ACADEMY;Monroe;CT;;;;;;,,
4958605;Independent Center;HOOPER ACADEMY EARLY LRNG CTR;Hope Hull;AL;;;;;;,,
4960799;Montessori;MONTESSORI ACADEMY-PRE-SCHOOL;Scottsdale;AZ;;;;;;,,
4962448;;WALNUT HILLS PRE-SCHOOL;Urbandale;IA;;;;;;,,
4966846;;TEDDY BEAR PLAYHOUSE;Brighton;MI;;;;;;,,
4967785;Church/Synagogue;NATIVITY PRE-SCHOOL & KDGN;Arden;NC;;;;;;,,
5015763;;KID'S UNIVERSITY PRE-SCHOOL 2;Hialeah;FL;;;;;;,,
5017151;Independent Center;CREATIVE CHILD LEARING CENTER;Ft Lauderdale;FL;;;;;;,,
5018636;Other Chains;THE LEARNING CENTER PS & DC;Largo;FL;;;;;;,,
5019343;Church/Synagogue;LEARNING VILLAGE PRE-SCHOOL;Lehigh Acres;FL;;;;;;,,
5027510;YMCA/YWCA;GREAT PLAINS FAMILY YMCA;Weatherford;OK;;;;;;,,
5027699;;ONE STEP AT A TIME;Edmond;OK;;;;;;,,
5028227;;LAUNCHING PAD;Oklahoma City;OK;;;;;;,,
5032369;YMCA/YWCA;SOUTHERN DISTRICT YMCA;Exeter;NH;;;;;;,,
5072022;Church/Synagogue;ATONEMENT CHILD CARE CENTER;Omaha;NE;;;;;;,,
5077187;YMCA/YWCA;YMCA CHLDREN PRE-SCHOOL;Wilmington;DE;;;;;;,,
5103669;Church/Synagogue;OPEN DOOR CHILD CARE;Denver;CO;;;;;;,,
5104170;;HEBREW EDUCATIONAL ALLIANCE;Denver;CO;;;;;;,,
5111977;Independent Center;KALEIDOSCOPE;Eastsound;WA;;;;;;,,
5112892;;CITY KIDS PRE-SCHOOL;Kirkland;WA;;;;;;,,
5114072;Independent Center;CADENCE ACADEMY PRE-SCHOOL;Gig Harbor;WA;;;;;;,,
5114383;;DISCOVERY STATION CC & DC;Puyallup;WA;;;;;;,,
5116927;Independent Center;LANESBORO CHILD CARE CENTER;Lanesboro;MN;;;;;;,,
5117177;;UNIV NORTHWESTERN CHLD DEV CTR;Roseville;MN;;;;;;,,
5117866;Church/Synagogue;DAVIDS CHRN LRNG CTR;Columbia Hts;MN;;;;;;,,
5118406;Church/Synagogue;CHILDREN OF TOMORROW;Chanhassen;MN;;;;;;,,
5120423;Independent Center;YOUNG HEARTS & FUTURE STEPS;Morgantown;WV;;;;;;,,
5122809;Church/Synagogue;ST STEPHENS CHILD DEV CTR;Huntsville;AL;;;;;;,,
5124845;Church/Synagogue;AZALEA CITY CHN SCHOOL;Semmes;AL;;;;;;,,
5130686;Montessori;OAK BROOK SCHOOL;Murphy;TX;;;;;;,,
5133846;;WESLEYAN CHRISTIAN ACADEMY;Rowlett;TX;;;;;;,,
5134929;;ANNUNCIATION CHILDREN CENTER;Houston;TX;;;;;;,,
5135612;Montessori;BLUEBONNET MONTESSORI SCHOOL;Lakeway;TX;;;;;;,,
5135739;Other Chains;STEPPING STONE SCHOOL-PARMER;Austin;TX;;;;;;,,
5145954;Montessori;COLLEYVILLE MONTESSORI SCHOOL;Colleyville;TX;;;;;;,,
5149429;;ACADEMY HOUSE CHILD DEV CTR;Jersey City;NJ;;;;;;,,
5152189;;BLAWENBURG VILLAGE SCHOOL;Blawenburg;NJ;;;;;;,,
5153793;Independent Center;CHRISTIES CAROUSEL OF LEARNING;Park Ridge;IL;;;;;;,,
5182342;Church/Synagogue;GRAND VIEW CDC;Dubuque;IA;;;;;;,,
5188475;Independent Center;LIL' PEOPLES' PLACE DAY CARE;Clarkston;MI;;;;;;,,
5192969;Church/Synagogue;COTTONWOOD CHRISTIAN LRNG CTR;Jenison;MI;;;;;;,,
5197751;;SLOAN CANYON FREE WILL BAPT PS;Castaic;CA;;;;;;,,
5201261;Church/Synagogue;LIFE CHRISTIAN ACADEMY;Riverside;CA;;;;;;,,
5204445;Independent Center;JOB TRAIN'S ON SITE PRE-SCHOOL;Menlo Park;CA;;;;;;,,
5205097;;SERENDIPITY PRE-SCHOOL;San Mateo;CA;;;;;;,,
5205671;Independent Center;SUNSHINE KIDS PRE-SCHOOL;Fremont;CA;;;;;;,,
5221273;Church/Synagogue;HAND PRINTS EARLY EDU CENTER;Colorado Spgs;CO;;;;;;,,
5253329;Independent Center;PREMIER CHILD CARE;Schererville;IN;;;;;;,,
5257870;Independent Center;MINNIELAND ACADEMY-CENTRAL PK;Fredericksbrg;VA;;;;;;,,
5285657;;SPECTRUM STATION DAY CARE;Kansas City;MO;;;;;;,,
5290872;College/University Based;NDSU WELLNESS CHILD CARE CTR;Fargo;ND;;;;;;,,
5292820;Church/Synagogue;PEACHTREE PRESBYTERIAN PRE-SCH;Atlanta;GA;;;;;;,,
5294402;Independent Center;CHILDTIME-QUEENSBURY;Queensbury;NY;;;;;;,,
5296333;Church/Synagogue;STEPPING STONES NURSERY SCHOOL;Brooklyn;NY;;;;;;,,
5297272;;CHILDREN'S CONTINUOUS CARE;MacEdon;NY;;;;;;,,
5298202;Church/Synagogue;COUNTRY GROVE CHILDREN'S CTR;Poughkeepsie;NY;;;;;;,,
5298408;Independent Center;LITTLE PALS PRE-SCHOOL;Monroe;NY;;;;;;,,
5300518;Independent Center;IMAGINATION STATION DAY CARE;Zeeland;MI;;;;;;,,
5300659;;MORNING STAR CHILD CARE W;Dexter;MI;;;;;;,,
5305661;;TRINIDAD'S CHILD DEV CENTER;Milwaukee;WI;;;;;;,,
5307683;;ST LUKE CHILD LIFE MINISTRY DC;Waukesha;WI;;;;;;,,
5307827;Church/Synagogue;ST PAUL'S CHILD CARE CENTER;Fremont;WI;;;;;;,,
5310238;;FIRST WOODWAY CHRISTIAN PS;Waco;TX;;;;;;,,
5310496;;HAPPY HARBOUR EARLY CHILDHOOD;League City;TX;;;;;;,,
5311579;Church/Synagogue;LITTLE ANGELS DAY CARE;Pflugerville;TX;;;;;;,,
5313773;Other Chains;PEANUT GALLERY-ALLEN;Allen;TX;;;;;;,,
5319569;College/University Based;U C IRVINE-INFANT TODDLER CTR;Irvine;CA;;;;;;,,
5319636;Church/Synagogue;EMANUEL LUTHERAN DAY CARE;Modesto;CA;;;;;;,,
5321720;Church/Synagogue;LITTLE SHEPHERD'S LEARNING CTR;Northridge;CA;;;;;;,,
5326328;Church/Synagogue;KID COUNTRY CHILDCARE;Manhattan;IL;;;;;;,,
5331127;Church/Synagogue;JEWISH CMTY CTR EARLY CHILDHD;Tucson;AZ;;;;;;,,
5340893;Church/Synagogue;SUMMERVILLE BAPTIST CDC;Summerville;SC;;;;;;,,
5354820;YMCA/YWCA;SOMERSET VLY YMCA SOMERVILLE;Somerville;NJ;;;;;;,,
