PID;DayCareType;Daycare_Name;Mailing_City;Mailing_State;Mailing_Address;Mailing_Zip;Telephone;URL;Capacity (optional);Age Range (optional);Original_Name;Normalized_Name;Normalized_Name_Core;Search_Name_Primary;Search_Name_Variants;Cleaning_Rules_Applied
2884905;Church/Synagogue;ALDERSGATE UNITED METH PRE-SCH;Olathe;KS;;;;;;,,;ALDERSGATE UNITED METH PRE-SCH;ALDERSGATE UNITED METH PRE SCH;ALDERSGATE UNITED METH;ALDERSGATE UNITED METH PRESCHOOL SCH;ALDERSGATE UNITED METH PRESCHOOL SCH || ALDERSGATE UNITED METHODIST PRE SCH || ALDERSGATE UNITED METH PRE SCHOOL || ALDERSGATE UNITED METH PRESCHOOL || ALDERSGATE UNITED METH PRE SCH || ALDERSGATE UNITED METH;METH->METHODIST || PRE->PRESCHOOL || PRE->PRE SCHOOL || SCH->SCHOOL || PRE SCH->PRESCHOOL
2886939;Employer (Corporate) Sponsored;LAKELAND LITTLE LEARNERS;Elkhorn;WI;;;;;;,,;LAKELAND LITTLE LEARNERS;LAKELAND LITTLE LEARNERS;LAKELAND LITTLE LEARNERS;LAKELAND LITTLE LEARNERS;LAKELAND LITTLE LEARNERS;
2887012;Church/Synagogue;SUNRISE PRE-SCHOOL;Colorado Springs;CO;;;;;;,,;SUNRISE PRE-SCHOOL;SUNRISE PRESCHOOL;SUNRISE;SUNRISE PRESCHOOL;SUNRISE PRESCHOOL || SUNRISE;
2889060;Other Chains;ENCOMPASS EARLY ED-DE PERE CTR;De Pere;WI;;;;;;,,;ENCOMPASS EARLY ED-DE PERE CTR;ENCOMPASS EARLY ED DE PERE CTR;ENCOMPASS ED;ENCOMPASS EARLY ED DE PERE CENTER;ENCOMPASS EARLY ED DE PERE CENTER || ENCOMPASS EARLY ED DE PERE CENTRE || ENCOMPASS EARLY ED DE PERE CTR || ENCOMPASS EARLY ED DEPERE CTR || ENCOMPASS ED DE PERE || ENCOMPASS ED;CTR->CENTER || CTR->CENTRE || DE PERE->DEPERE (compound city) || removed city tokens from core: DE PERE
2889395;Independent Center;WEE WISDOM NURSERY SCHOOL;Muncie;IN;;;;;;,,;WEE WISDOM NURSERY SCHOOL;WEE WISDOM NURSERY SCHOOL;WEE WISDOM;WEE WISDOM NURSERY SCHOOL;WEE WISDOM NURSERY SCHOOL || WEE WISDOM;
2891506;Church/Synagogue;B'NAI ISRAEL NURSERY SCH 301;Rockville;MD;;;;;;,,;B'NAI ISRAEL NURSERY SCH 301;BNAI ISRAEL NURSERY SCH 301;BNAI ISRAEL 301;BNAI ISRAEL NURSERY SCHOOL 301;BNAI ISRAEL NURSERY SCHOOL 301 || BNAI ISRAEL NURSERY SCH 301 || BNAI ISRAEL 301;SCH->SCHOOL
2908020;Church/Synagogue;SANTA ROSA CHRISTIAN LRNG CTR;Milton;FL;;;;;;,,;SANTA ROSA CHRISTIAN LRNG CTR;SANTA ROSA CHRISTIAN LRNG CTR;SANTA ROSA CHRISTIAN LRNG;SANTA ROSA CHRISTIAN LEARNING CTR;SANTA ROSA CHRISTIAN LEARNING CTR || SANTA ROSA CHRISTIAN LRNG CENTER || SANTA ROSA CHRISTIAN LRNG CENTRE || SANTA ROSA CHRISTIAN LRNG CTR || SANTA ROSA CHRISTIAN LRNG;LRNG->LEARNING || CTR->CENTER || CTR->CENTRE
2909581;Montessori;WELLSVILLE MONTESSORI SCHOOL;Wellsville;NY;;;;;;,,;WELLSVILLE MONTESSORI SCHOOL;WELLSVILLE MONTESSORI SCHOOL;MONTESSORI;WELLSVILLE MONTESSORI SCHOOL;WELLSVILLE MONTESSORI SCHOOL || WELLSVILLE MONTESSORI || MONTESSORI;removed city tokens from core: WELLSVILLE
2910451;Church/Synagogue;CHRIST UMC CHILD CARE CENTER;Bethel Park;PA;;;;;;,,;CHRIST UMC CHILD CARE CENTER;CHRIST UMC CHILD CARE CENTER;CHRIST UMC;CHRIST UMC CHILD CARE CENTER;CHRIST UMC CHILD CARE CENTER || CHRIST UMC;
2911651;Independent Center;PUMKIN PATCH DAY CARE CTR 1;Cleburne;TX;;;;;;,,;PUMKIN PATCH DAY CARE CTR 1;PUMKIN PATCH DAY CARE CTR 1;PUMKIN PATCH 1;PUMKIN PATCH DAY CARE CENTER 1;PUMKIN PATCH DAY CARE CENTER 1 || PUMKIN PATCH DAY CARE CENTRE 1 || PUMKIN PATCH DAY CARE CTR 1 || PUMKIN PATCH 1;CTR->CENTER || CTR->CENTRE
